2025_07_29_07_12_06_L_001.csv,ブーム:,L,穿孔No.:,1,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
65,8,51,2,633,1.277,1.627,14.7,3.7,5.5,0,1,83,1446,-34521.258,33250.949,54.273,3863.354,-0.228,5.779,43.6541,78.8352,-1.2189,11.1648,,1,1,3866,,,,,,
66,8,51,2,833,1.288,1.78,14.5,3.8,5.5,0,1,74.2,1446,-34521.258,33250.949,54.273,3863.354,-0.228,5.779,43.6541,78.8352,-1.2189,11.1648,,1,1,3866,,,,,,
67,8,51,3,33,1.295,1.856,14.3,3.5,5.8,0,1,72.6,1446,-34521.258,33250.949,54.273,3863.354,-0.228,5.779,43.6541,78.8352,-1.2189,11.1648,,1,1,3866,,,,,,
68,8,51,3,233,1.302,1.688,14.5,3.6,5.7,0,1,80.3,1446,-34521.258,33250.949,54.273,3863.354,-0.228,5.779,43.6541,78.8352,-1.2189,11.1648,,1,1,3866,,,,,,
69,8,51,3,433,1.309,1.536,14.4,4,5.4,0,1,83.7,1446,-34521.258,33250.949,54.273,3863.354,-0.228,5.779,43.6541,78.8352,-1.2189,11.1648,,1,1,3866,,,,,,
70,8,51,3,634,1.317,1.521,14.3,3.5,5.7,0,1,87.6,1446,-34521.258,33250.949,54.273,3863.354,-0.228,5.779,43.6541,78.8352,-1.2189,11.1648,,1,1,3866,,,,,,
71,8,51,3,833,1.327,1.764,14.5,3.6,5.6,0,1,75.8,1446,-34521.301,33251.015,54.341,3863.338,-0.151,5.848,43.7232,78.2669,-1.1498,11.7331,,1,1,3866,,,,,,
72,8,51,4,33,1.335,1.81,14.6,4.1,5.4,0,1,72.5,1446,-34521.301,33251.015,54.341,3863.338,-0.151,5.848,43.7232,78.2669,-1.1498,11.7331,,1,1,3866,,,,,,
73,8,51,4,233,1.343,1.719,14.3,3.5,5.7,0,1,78.2,1446,-34521.301,33251.015,54.341,3863.338,-0.151,5.848,43.7232,78.2669,-1.1498,11.7331,,1,1,3866,,,,,,
74,8,51,4,433,1.35,1.688,14.7,3.7,5.4,0,1,78.2,1446,-34521.301,33251.015,54.341,3863.338,-0.151,5.848,43.7232,78.2669,-1.1498,11.7331,,1,1,3866,,,,,,
75,8,51,4,634,1.36,1.749,14.5,4,5.4,0,1,74,1446,-34521.301,33251.015,54.341,3863.338,-0.151,5.848,43.7232,78.2669,-1.1498,11.7331,,1,1,3866,,,,,,
76,8,51,4,833,1.369,1.81,14.3,3.4,5.7,0,1,72.9,1446,-34521.301,33251.015,54.341,3863.338,-0.151,5.848,43.7232,78.2669,-1.1498,11.7331,,1,1,3866,,,,,,
77,8,51,5,33,1.377,1.916,14.6,4.2,5.3,0,1,67.1,1446,-34521.301,33251.015,54.341,3863.338,-0.151,5.848,43.7232,78.2669,-1.1498,11.7331,,1,1,3866,,,,,,
78,8,51,5,233,1.385,1.81,14.3,3.8,5.5,0,1,71.2,1446,-34521.301,33251.015,54.341,3863.338,-0.151,5.848,43.7232,78.2669,-1.1498,11.7331,,1,1,3866,,,,,,
79,8,51,5,434,1.394,1.734,14.4,3.7,5.5,0,1,74.8,1446,-34521.239,33251.021,54.319,3863.289,-0.191,5.825,43.6838,78.5212,-1.1892,11.4788,,1,1,3866,,,,,,
80,8,51,5,633,1.403,1.84,14.7,3.8,5.5,0,1,72.8,1446,-34521.239,33251.021,54.319,3863.289,-0.191,5.825,43.6838,78.5212,-1.1892,11.4788,,1,1,3866,,,,,,
81,8,51,5,833,1.412,1.901,14.3,3.6,5.6,0,1,68.9,1446,-34521.239,33251.021,54.319,3863.289,-0.191,5.825,43.6838,78.5212,-1.1892,11.4788,,1,1,3866,,,,,,
