2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
5756,8,32,43,233,26.776,1.049,13.8,6.6,4.5,0,10,79.2,8380,-34530.464,33247.526,48.798,3872.292,3.841,0.304,226.8816,90.8758,-177.9915,-0.8758,,1,1,3866,,,,,,
5757,8,32,43,433,26.78,1.11,13.8,5.9,4.3,0,10,70.4,8380,-34530.464,33247.526,48.798,3872.292,3.841,0.304,226.8816,90.8758,-177.9915,-0.8758,,1,1,3866,,,,,,
5758,8,32,43,633,26.784,1.095,13.8,8.3,3.2,0,10,53.7,8380,-34530.464,33247.526,48.798,3872.292,3.841,0.304,226.8816,90.8758,-177.9915,-0.8758,,1,1,3866,,,,,,
5759,8,32,43,833,26.787,1.126,13.7,6.9,4.4,0,10,71.2,8380,-34530.464,33247.526,48.798,3872.292,3.841,0.304,226.8816,90.8758,-177.9915,-0.8758,,1,1,3866,,,,,,
5760,8,32,44,33,26.791,1.004,13.8,7.7,4,0,10,71.7,8380,-34530.464,33247.526,48.798,3872.292,3.841,0.304,226.8816,90.8758,-177.9915,-0.8758,,1,1,3866,,,,,,
5761,8,32,44,233,26.796,1.232,13.9,7,3.9,0,10,57.7,8380,-34530.464,33247.526,48.798,3872.292,3.841,0.304,226.8816,90.8758,-177.9915,-0.8758,,1,1,3866,,,,,,
5762,8,32,44,433,26.799,1.11,13.8,7.2,4.2,0,10,68.6,8380,-34530.464,33247.526,48.798,3872.292,3.841,0.304,226.8816,90.8758,-177.9915,-0.8758,,1,1,3866,,,,,,
5763,8,32,44,633,26.802,1.141,13.8,6.8,4.4,0,10,71.2,8380,-34530.48,33247.511,48.794,3872.315,3.841,0.3,226.8291,90.931,-178.044,-0.931,,1,1,3866,,,,,,
5764,8,32,44,833,26.807,1.095,13.9,6.4,4.2,0,10,70.7,8380,-34530.48,33247.511,48.794,3872.315,3.841,0.3,226.8291,90.931,-178.044,-0.931,,1,1,3866,,,,,,
5765,8,32,45,33,26.809,1.049,13.8,8.4,3.2,0,10,56.2,8380,-34530.48,33247.511,48.794,3872.315,3.841,0.3,226.8291,90.931,-178.044,-0.931,,1,1,3866,,,,,,
5766,8,32,45,233,26.815,1.202,13.8,7.8,3.8,0,10,57.7,8380,-34530.48,33247.511,48.794,3872.315,3.841,0.3,226.8291,90.931,-178.044,-0.931,,1,1,3866,,,,,,
5767,8,32,45,433,26.818,1.186,13.8,7.2,4.3,0,10,66.8,8380,-34530.48,33247.511,48.794,3872.315,3.841,0.3,226.8291,90.931,-178.044,-0.931,,1,1,3866,,,,,,
5768,8,32,45,633,26.822,1.186,13.8,6.1,4.5,0,10,69.9,8380,-34530.48,33247.511,48.794,3872.315,3.841,0.3,226.8291,90.931,-178.044,-0.931,,1,1,3866,,,,,,
5769,8,32,45,833,26.827,1.232,13.8,6.9,3.8,0,10,56.5,8380,-34530.48,33247.511,48.794,3872.315,3.841,0.3,226.8291,90.931,-178.044,-0.931,,1,1,3866,,,,,,
5770,8,32,46,33,26.832,1.399,13.8,7.2,3.8,0,10,50.3,8380,-34530.48,33247.511,48.794,3872.315,3.841,0.3,226.8291,90.931,-178.044,-0.931,,1,1,3866,,,,,,
5771,8,32,46,233,26.836,1.43,13.8,7.4,4.1,0,10,52.7,8380,-34530.492,33247.491,48.788,3872.337,3.836,0.294,226.8744,91.0163,-177.9987,-1.0163,,1,1,3866,,,,,,
5772,8,32,46,433,26.84,1.308,13.8,7.3,3.9,0,10,54.9,8380,-34530.492,33247.491,48.788,3872.337,3.836,0.294,226.8744,91.0163,-177.9987,-1.0163,,1,1,3866,,,,,,
5773,8,32,46,633,26.843,0.958,13.9,6.2,4.3,0,10,81.8,8380,-34530.492,33247.491,48.788,3872.337,3.836,0.294,226.8744,91.0163,-177.9987,-1.0163,,1,1,3866,,,,,,
5774,8,32,46,833,26.848,1.323,13.9,8.1,3.4,0,10,47.4,8380,-34530.492,33247.491,48.788,3872.337,3.836,0.294,226.8744,91.0163,-177.9987,-1.0163,,1,1,3866,,,,,,
5775,8,32,47,33,26.851,1.232,13.8,7.5,4,0,10,58.5,8380,-34530.518,33247.474,48.81,3872.367,3.843,0.316,226.8018,90.8101,-178.0713,-0.8101,,1,1,3866,,,,,,
5776,8,32,47,233,26.855,1.065,13.8,7.2,4.3,0,10,72.9,8380,-34530.518,33247.474,48.81,3872.367,3.843,0.316,226.8018,90.8101,-178.0713,-0.8101,,1,1,3866,,,,,,
5777,8,32,47,433,26.859,1.095,13.8,6.9,4,0,10,66.6,8380,-34530.518,33247.474,48.81,3872.367,3.843,0.316,226.8018,90.8101,-178.0713,-0.8101,,1,1,3866,,,,,,
5778,8,32,47,633,26.863,1.126,13.8,6.8,3.8,0,10,61.9,8380,-34530.518,33247.474,48.81,3872.367,3.843,0.316,226.8018,90.8101,-178.0713,-0.8101,,1,1,3866,,,,,,
5779,8,32,47,833,26.866,1.141,13.8,7.1,3.9,0,10,62.7,8380,-34530.518,33247.474,48.81,3872.367,3.843,0.316,226.8018,90.8101,-178.0713,-0.8101,,1,1,3866,,,,,,
5780,8,32,48,33,26.873,1.399,13.8,7.8,3.9,0,10,51.3,8380,-34530.518,33247.474,48.81,3872.367,3.843,0.316,226.8018,90.8101,-178.0713,-0.8101,,1,1,3866,,,,,,
5781,8,32,48,233,26.875,1.293,13.8,7.3,4.2,0,10,59.8,8380,-34530.518,33247.474,48.81,3872.367,3.843,0.316,226.8018,90.8101,-178.0713,-0.8101,,1,1,3866,,,,,,
5782,8,32,48,434,26.88,1.278,13.9,6.4,4.3,0,10,61.3,8380,-34530.518,33247.474,48.81,3872.367,3.843,0.316,226.8018,90.8101,-178.0713,-0.8101,,1,1,3866,,,,,,
5783,8,32,48,633,26.886,1.445,13.8,7.3,3.7,0,10,46.4,8380,-34530.531,33247.453,48.797,3872.392,3.837,0.303,226.8428,90.9363,-178.0303,-0.9363,,1,1,3866,,,,,,
5784,8,32,48,833,26.89,1.415,13.8,7.8,3.6,0,10,46.8,8380,-34530.531,33247.453,48.797,3872.392,3.837,0.303,226.8428,90.9363,-178.0303,-0.9363,,1,1,3866,,,,,,
5785,8,32,49,53,26.892,1.065,13.8,7,4.2,0,10,71.5,8380,-34530.531,33247.453,48.797,3872.392,3.837,0.303,226.8428,90.9363,-178.0303,-0.9363,,1,1,3866,,,,,,
5786,8,32,49,253,26.899,1.278,13.8,6.9,4.3,0,10,61.1,8380,-34530.531,33247.453,48.797,3872.392,3.837,0.303,226.8428,90.9363,-178.0303,-0.9363,,1,1,3866,,,,,,
5787,8,32,49,453,26.902,1.369,13.8,7.4,3.7,0,10,49.2,8380,-34530.531,33247.453,48.797,3872.392,3.837,0.303,226.8428,90.9363,-178.0303,-0.9363,,1,1,3866,,,,,,
5788,8,32,49,653,26.905,1.186,13.8,8.3,3.6,0,10,55.6,8380,-34530.531,33247.453,48.797,3872.392,3.837,0.303,226.8428,90.9363,-178.0303,-0.9363,,1,1,3866,,,,,,
5789,8,32,49,853,26.91,1.034,13.7,5.9,4.6,0,10,78.9,8380,-34530.531,33247.453,48.797,3872.392,3.837,0.303,226.8428,90.9363,-178.0303,-0.9363,,1,1,3866,,,,,,
5790,8,32,50,53,26.915,1.308,13.8,7.3,4.1,0,10,57.3,8380,-34530.531,33247.453,48.797,3872.392,3.837,0.303,226.8428,90.9363,-178.0303,-0.9363,,1,1,3866,,,,,,
5791,8,32,50,253,26.917,1.323,13.8,6.8,3.9,0,10,54.6,8380,-34530.571,33247.413,48.79,3872.448,3.836,0.296,226.8573,90.8454,-178.0158,-0.8454,,1,1,3866,,,,,,
5792,8,32,50,453,26.922,1.049,13.8,7.7,3.7,0,10,64.2,8380,-34530.571,33247.413,48.79,3872.448,3.836,0.296,226.8573,90.8454,-178.0158,-0.8454,,1,1,3866,,,,,,
5793,8,32,50,653,26.926,1.186,13.8,6.6,4.3,0,10,66.3,8380,-34530.571,33247.413,48.79,3872.448,3.836,0.296,226.8573,90.8454,-178.0158,-0.8454,,1,1,3866,,,,,,
5794,8,32,50,853,26.929,1.186,13.8,8.1,3.9,0,10,59.6,8380,-34530.571,33247.413,48.79,3872.448,3.836,0.296,226.8573,90.8454,-178.0158,-0.8454,,1,1,3866,,,,,,
5795,8,32,51,53,26.934,1.186,13.8,6.3,4,0,10,61.8,8380,-34530.571,33247.413,48.79,3872.448,3.836,0.296,226.8573,90.8454,-178.0158,-0.8454,,1,1,3866,,,,,,
5796,8,32,51,273,26.937,0.958,13.8,8,3.5,0,10,67.7,8380,-34530.571,33247.413,48.79,3872.448,3.836,0.296,226.8573,90.8454,-178.0158,-0.8454,,1,1,3866,,,,,,
5797,8,32,51,473,26.94,1.126,13.8,6.8,4.5,0,10,72.5,8380,-34530.571,33247.413,48.79,3872.448,3.836,0.296,226.8573,90.8454,-178.0158,-0.8454,,1,1,3866,,,,,,
5798,8,32,51,673,26.944,0.943,13.8,7.4,4,0,10,77.7,8380,-34530.571,33247.413,48.79,3872.448,3.836,0.296,226.8573,90.8454,-178.0158,-0.8454,,1,1,3866,,,,,,
5799,8,32,51,873,26.948,1.217,13.8,5.9,4.4,0,10,65.2,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5800,8,32,52,133,26.951,0.973,13.9,7.3,3.8,0,10,71.7,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5801,8,32,52,333,26.957,1.186,13.8,7.2,3.6,0,10,55.7,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5802,8,32,52,533,26.961,1.095,13.8,6.9,4.1,0,10,68.2,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5803,8,32,52,733,26.965,1.384,13.8,7.9,4,0,10,52.4,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5804,8,32,52,934,26.968,1.171,13.9,6.8,4.3,0,10,67.7,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5805,8,32,53,133,26.973,1.126,13.8,6.9,3.9,0,10,62.9,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5806,8,32,53,333,26.976,1.202,13.8,8.3,3.5,0,10,52.5,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5807,8,32,53,533,26.981,1.308,13.8,7.9,3.6,0,10,50.9,8380,-34530.59,33247.394,48.781,3872.475,3.837,0.287,226.8181,90.9871,-178.055,-0.9871,,1,1,3866,,,,,,
5808,8,32,53,813,26.985,1.065,13.8,7.3,3.8,0,10,65.5,8380,-34530.606,33247.376,48.798,3872.499,3.835,0.304,226.8474,90.8163,-178.0256,-0.8163,,1,1,3866,,,,,,
5809,8,32,54,13,26.989,1.004,13.8,7.4,4,0,10,73.2,8380,-34530.606,33247.376,48.798,3872.499,3.835,0.304,226.8474,90.8163,-178.0256,-0.8163,,1,1,3866,,,,,,
5810,8,32,54,214,26.994,1.384,13.8,7.4,4.1,0,10,54.6,8380,-34530.606,33247.376,48.798,3872.499,3.835,0.304,226.8474,90.8163,-178.0256,-0.8163,,1,1,3866,,,,,,
5811,8,32,54,414,26.996,1.034,13.8,7.8,3.7,0,10,65.9,8380,-34530.606,33247.376,48.798,3872.499,3.835,0.304,226.8474,90.8163,-178.0256,-0.8163,,1,1,3866,,,,,,
5812,8,32,54,613,27,0.973,13.8,6.9,3.8,0,10,71.8,8380,-34530.606,33247.376,48.798,3872.499,3.835,0.304,226.8474,90.8163,-178.0256,-0.8163,,1,1,3866,,,,,,
5813,8,32,54,813,27.004,1.049,13.8,7.8,3.5,0,10,61.5,8380,-34530.606,33247.376,48.798,3872.499,3.835,0.304,226.8474,90.8163,-178.0256,-0.8163,,1,1,3866,,,,,,
5814,8,32,55,13,27.008,1.202,13.8,7.2,4,0,10,60.6,8380,-34530.606,33247.376,48.798,3872.499,3.835,0.304,226.8474,90.8163,-178.0256,-0.8163,,1,1,3866,,,,,,
5815,8,32,55,213,27.012,1.262,13.8,7.3,4.2,0,10,60.2,8380,-34530.615,33247.354,48.808,3872.521,3.826,0.315,226.9634,90.7554,-177.9096,-0.7554,,1,1,3866,,,,,,
5816,8,32,55,413,27.017,1.278,13.8,6.5,4.2,0,10,60.4,8380,-34530.615,33247.354,48.808,3872.521,3.826,0.315,226.9634,90.7554,-177.9096,-0.7554,,1,1,3866,,,,,,
5817,8,32,55,613,27.02,1.095,13.8,7.3,3.7,0,10,61.9,8380,-34530.615,33247.354,48.808,3872.521,3.826,0.315,226.9634,90.7554,-177.9096,-0.7554,,1,1,3866,,,,,,
5818,8,32,55,813,27.023,1.156,13.8,6.8,4,0,10,62.5,8380,-34530.615,33247.354,48.808,3872.521,3.826,0.315,226.9634,90.7554,-177.9096,-0.7554,,1,1,3866,,,,,,
5819,8,32,56,13,27.029,1.262,13.8,7.4,4,0,10,57.5,8380,-34530.639,33247.339,48.79,3872.549,3.832,0.297,226.8688,90.9526,-178.0043,-0.9526,,1,1,3866,,,,,,
5820,8,32,56,273,27.032,1.11,13.8,6.9,4,0,10,66,8380,-34530.639,33247.339,48.79,3872.549,3.832,0.297,226.8688,90.9526,-178.0043,-0.9526,,1,1,3866,,,,,,
5821,8,32,56,473,27.039,1.369,13.8,6.6,4.5,0,10,60.1,8380,-34530.639,33247.339,48.79,3872.549,3.832,0.297,226.8688,90.9526,-178.0043,-0.9526,,1,1,3866,,,,,,
5822,8,32,56,773,27.042,1.278,13.8,7.3,3.9,0,10,55.4,8380,-34530.639,33247.339,48.79,3872.549,3.832,0.297,226.8688,90.9526,-178.0043,-0.9526,,1,1,3866,,,,,,
5823,8,32,56,973,27.049,1.186,13.9,7.3,4.2,0,10,64.4,8380,-34530.656,33247.32,48.785,3872.574,3.83,0.291,226.8631,90.6537,-178.01,-0.6537,,1,1,3866,,,,,,
5824,8,32,57,293,27.052,1.156,13.8,7,3.8,0,10,59.7,8380,-34530.656,33247.32,48.785,3872.574,3.83,0.291,226.8631,90.6537,-178.01,-0.6537,,1,1,3866,,,,,,
5825,8,32,57,493,27.056,0.882,13.8,7.7,4,0,10,82.3,8380,-34530.656,33247.32,48.785,3872.574,3.83,0.291,226.8631,90.6537,-178.01,-0.6537,,1,1,3866,,,,,,
5826,8,32,57,693,27.06,1.247,13.8,6.6,4.5,0,10,65.5,8380,-34530.656,33247.32,48.785,3872.574,3.83,0.291,226.8631,90.6537,-178.01,-0.6537,,1,1,3866,,,,,,
5827,8,32,57,893,27.064,1.156,13.9,6.5,4.3,0,10,67.9,8380,-34530.656,33247.32,48.785,3872.574,3.83,0.291,226.8631,90.6537,-178.01,-0.6537,,1,1,3866,,,,,,
5828,8,32,58,93,27.068,1.11,13.8,6.9,3.9,0,10,63.5,8380,-34530.656,33247.32,48.785,3872.574,3.83,0.291,226.8631,90.6537,-178.01,-0.6537,,1,1,3866,,,,,,
5829,8,32,58,293,27.072,1.217,13.8,8.4,3.5,0,10,52.6,8380,-34530.656,33247.32,48.785,3872.574,3.83,0.291,226.8631,90.6537,-178.01,-0.6537,,1,1,3866,,,,,,
5830,8,32,58,493,27.076,1.186,13.8,6.8,4.4,0,10,68,8380,-34530.668,33247.297,48.795,3872.599,3.823,0.301,226.9563,90.8342,-177.9167,-0.8342,,1,1,3866,,,,,,
5831,8,32,58,693,27.079,1.065,13.8,7.3,4.2,0,10,72.2,8380,-34530.668,33247.297,48.795,3872.599,3.823,0.301,226.9563,90.8342,-177.9167,-0.8342,,1,1,3866,,,,,,
5832,8,32,58,893,27.084,1.278,13.8,7.6,3.7,0,10,51.9,8380,-34530.668,33247.297,48.795,3872.599,3.823,0.301,226.9563,90.8342,-177.9167,-0.8342,,1,1,3866,,,,,,
5833,8,32,59,93,27.087,1.126,13.8,7.8,3.5,0,10,56.6,8380,-34530.668,33247.297,48.795,3872.599,3.823,0.301,226.9563,90.8342,-177.9167,-0.8342,,1,1,3866,,,,,,
5834,8,32,59,293,27.09,1.065,13.8,7.6,3.7,0,10,63.5,8380,-34530.668,33247.297,48.795,3872.599,3.823,0.301,226.9563,90.8342,-177.9167,-0.8342,,1,1,3866,,,,,,
5835,8,32,59,493,27.096,1.262,13.8,7.8,3.9,0,10,55.8,8380,-34530.668,33247.297,48.795,3872.599,3.823,0.301,226.9563,90.8342,-177.9167,-0.8342,,1,1,3866,,,,,,
5836,8,32,59,693,27.101,1.43,13.9,6.6,4.5,0,10,57.3,8380,-34530.668,33247.297,48.795,3872.599,3.823,0.301,226.9563,90.8342,-177.9167,-0.8342,,1,1,3866,,,,,,
5837,8,32,59,893,27.104,1.354,13.9,7.2,4.1,0,10,55,8380,-34530.668,33247.297,48.795,3872.599,3.823,0.301,226.9563,90.8342,-177.9167,-0.8342,,1,1,3866,,,,,,
5838,8,33,0,93,27.11,1.43,13.8,6.9,3.7,0,10,47,8380,-34530.689,33247.283,48.797,3872.623,3.828,0.303,226.8713,90.9014,-178.0018,-0.9014,,1,1,3866,,,,,,
5839,8,33,0,293,27.114,1.293,13.8,8.3,3.3,0,10,46.9,8380,-34530.689,33247.283,48.797,3872.623,3.828,0.303,226.8713,90.9014,-178.0018,-0.9014,,1,1,3866,,,,,,
5840,8,33,0,493,27.119,1.445,13.8,7.1,4.3,0,10,53.5,8380,-34530.689,33247.283,48.797,3872.623,3.828,0.303,226.8713,90.9014,-178.0018,-0.9014,,1,1,3866,,,,,,
5841,8,33,0,693,27.123,1.293,13.8,7.6,4.2,0,10,59.2,8380,-34530.689,33247.283,48.797,3872.623,3.828,0.303,226.8713,90.9014,-178.0018,-0.9014,,1,1,3866,,,,,,
5842,8,33,0,893,27.128,1.323,13.8,6.6,4.4,0,10,60.6,8380,-34530.689,33247.283,48.797,3872.623,3.828,0.303,226.8713,90.9014,-178.0018,-0.9014,,1,1,3866,,,,,,
5843,8,33,1,93,27.134,1.521,13.8,6.6,4.2,0,10,49.7,8380,-34530.714,33247.263,48.792,3872.655,3.831,0.298,226.8255,90.9981,-178.0476,-0.9981,,1,1,3866,,,,,,
5844,8,33,1,293,27.14,1.795,13.8,7.1,3.6,0,10,36.7,8380,-34530.714,33247.263,48.792,3872.655,3.831,0.298,226.8255,90.9981,-178.0476,-0.9981,,1,1,3866,,,,,,
5845,8,33,1,493,27.144,1.521,13.8,7.2,3.7,0,10,44.8,8380,-34530.714,33247.263,48.792,3872.655,3.831,0.298,226.8255,90.9981,-178.0476,-0.9981,,1,1,3866,,,,,,
5846,8,33,1,693,27.151,1.673,13.8,7,4.1,0,10,44.9,8380,-34530.714,33247.263,48.792,3872.655,3.831,0.298,226.8255,90.9981,-178.0476,-0.9981,,1,1,3866,,,,,,
5847,8,33,1,894,27.158,1.886,13.8,6.8,4.3,0,10,41.8,8380,-34530.714,33247.263,48.792,3872.655,3.831,0.298,226.8255,90.9981,-178.0476,-0.9981,,1,1,3866,,,,,,
5848,8,33,2,93,27.164,1.947,13.8,6.6,4.4,0,10,41.1,8380,-34530.714,33247.263,48.792,3872.655,3.831,0.298,226.8255,90.9981,-178.0476,-0.9981,,1,1,3866,,,,,,
5849,8,33,2,293,27.169,1.84,13.8,6.7,4.5,0,10,44.5,8380,-34530.714,33247.263,48.792,3872.655,3.831,0.298,226.8255,90.9981,-178.0476,-0.9981,,1,1,3866,,,,,,
5850,8,33,2,493,27.174,1.551,13.8,6.5,4.5,0,10,52.9,8380,-34530.714,33247.263,48.792,3872.655,3.831,0.298,226.8255,90.9981,-178.0476,-0.9981,,1,1,3866,,,,,,
5851,8,33,2,693,27.177,1.308,13.8,6.6,4.3,0,10,59.4,8380,-34530.744,33247.241,48.786,3872.692,3.836,0.292,226.7055,90.9759,-178.1676,-0.9759,,1,1,3866,,,,,,
5852,8,33,2,893,27.183,1.43,13.8,6.7,3.9,0,10,49.2,8380,-34530.744,33247.241,48.786,3872.692,3.836,0.292,226.7055,90.9759,-178.1676,-0.9759,,1,1,3866,,,,,,
5853,8,33,3,93,27.188,1.491,13.8,7.5,3.6,0,10,43.9,8380,-34530.744,33247.241,48.786,3872.692,3.836,0.292,226.7055,90.9759,-178.1676,-0.9759,,1,1,3866,,,,,,
5854,8,33,3,293,27.191,1.338,13.8,7.8,3.7,0,10,49.8,8380,-34530.744,33247.241,48.786,3872.692,3.836,0.292,226.7055,90.9759,-178.1676,-0.9759,,1,1,3866,,,,,,
5855,8,33,3,493,27.196,1.232,13.9,6.5,4.3,0,10,63.8,8380,-34530.744,33247.241,48.786,3872.692,3.836,0.292,226.7055,90.9759,-178.1676,-0.9759,,1,1,3866,,,,,,
5856,8,33,3,693,27.203,1.536,13.8,6.7,4.5,0,10,53.5,8380,-34530.744,33247.241,48.786,3872.692,3.836,0.292,226.7055,90.9759,-178.1676,-0.9759,,1,1,3866,,,,,,
5857,8,33,3,893,27.207,1.643,13.8,7,4.5,0,10,49.6,8380,-34530.744,33247.241,48.786,3872.692,3.836,0.292,226.7055,90.9759,-178.1676,-0.9759,,1,1,3866,,,,,,
5858,8,33,4,93,27.211,1.293,13.8,6.6,4.4,0,10,61.2,8380,-34530.744,33247.241,48.786,3872.692,3.836,0.292,226.7055,90.9759,-178.1676,-0.9759,,1,1,3866,,,,,,
5859,8,33,4,293,27.216,1.262,13.8,6.3,4.1,0,10,58.6,8380,-34530.762,33247.215,48.808,3872.724,3.831,0.314,226.7861,90.7422,-178.087,-0.7422,,1,1,3866,,,,,,
5860,8,33,4,493,27.22,1.369,13.8,6.8,3.9,0,10,51.8,8380,-34530.762,33247.215,48.808,3872.724,3.831,0.314,226.7861,90.7422,-178.087,-0.7422,,1,1,3866,,,,,,
5861,8,33,4,693,27.224,1.308,13.9,8.2,3.3,0,10,46.2,8380,-34530.762,33247.215,48.808,3872.724,3.831,0.314,226.7861,90.7422,-178.087,-0.7422,,1,1,3866,,,,,,
5862,8,33,4,893,27.228,1.156,13.8,7.5,3.7,0,10,58,8380,-34530.762,33247.215,48.808,3872.724,3.831,0.314,226.7861,90.7422,-178.087,-0.7422,,1,1,3866,,,,,,
5863,8,33,5,93,27.232,1.202,13.8,7.6,4,0,10,61,8380,-34530.779,33247.187,48.795,3872.755,3.823,0.301,226.8848,90.9307,-177.9882,-0.9307,,1,1,3866,,,,,,
5864,8,33,5,293,27.236,1.262,13.8,7.6,4.1,0,10,58.9,8380,-34530.779,33247.187,48.795,3872.755,3.823,0.301,226.8848,90.9307,-177.9882,-0.9307,,1,1,3866,,,,,,
5865,8,33,5,493,27.239,1.08,13.8,7.4,4.3,0,10,71.6,8380,-34530.779,33247.187,48.795,3872.755,3.823,0.301,226.8848,90.9307,-177.9882,-0.9307,,1,1,3866,,,,,,
5866,8,33,5,693,27.243,1.141,13.8,7.4,4,0,10,63.5,8380,-34530.779,33247.187,48.795,3872.755,3.823,0.301,226.8848,90.9307,-177.9882,-0.9307,,1,1,3866,,,,,,
5867,8,33,5,893,27.249,1.262,13.8,6.7,3.9,0,10,55.7,8380,-34530.802,33247.172,48.787,3872.781,3.829,0.293,226.7646,90.9511,-178.1085,-0.9511,,1,1,3866,,,,,,
5868,8,33,6,93,27.253,1.323,13.8,6.8,4,0,10,54.2,8380,-34530.802,33247.172,48.787,3872.781,3.829,0.293,226.7646,90.9511,-178.1085,-0.9511,,1,1,3866,,,,,,
5869,8,33,6,293,27.258,1.597,13.8,8,3.4,0,10,38.4,8380,-34530.802,33247.172,48.787,3872.781,3.829,0.293,226.7646,90.9511,-178.1085,-0.9511,,1,1,3866,,,,,,
5870,8,33,6,493,27.262,1.369,13.9,8.7,3.2,0,10,42.5,8380,-34530.802,33247.172,48.787,3872.781,3.829,0.293,226.7646,90.9511,-178.1085,-0.9511,,1,1,3866,,,,,,
5871,8,33,6,693,27.266,1.232,13.9,7.8,3.9,0,10,57.8,8380,-34530.802,33247.172,48.787,3872.781,3.829,0.293,226.7646,90.9511,-178.1085,-0.9511,,1,1,3866,,,,,,
5872,8,33,6,893,27.271,1.308,13.9,7.7,4.1,0,10,57.7,8380,-34530.802,33247.172,48.787,3872.781,3.829,0.293,226.7646,90.9511,-178.1085,-0.9511,,1,1,3866,,,,,,
5873,8,33,7,93,27.276,1.354,13.8,6.9,4.2,0,10,57,8380,-34530.802,33247.172,48.787,3872.781,3.829,0.293,226.7646,90.9511,-178.1085,-0.9511,,1,1,3866,,,,,,
5874,8,33,7,293,27.279,1.308,13.8,6.9,4.2,0,10,58.7,8380,-34530.802,33247.172,48.787,3872.781,3.829,0.293,226.7646,90.9511,-178.1085,-0.9511,,1,1,3866,,,,,,
5875,8,33,7,493,27.284,1.399,13.8,7.2,3.6,0,10,46.7,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5876,8,33,7,693,27.287,1.065,13.8,7.4,3.6,0,10,62.4,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5877,8,33,7,894,27.292,1.308,13.8,8.3,3.4,0,10,48,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5878,8,33,8,93,27.296,1.171,13.8,7.8,4,0,10,61.5,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5879,8,33,8,293,27.299,1.065,13.8,7.1,4.4,0,10,75.3,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5880,8,33,8,493,27.303,1.171,13.8,7.3,3.9,0,10,60.4,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5881,8,33,8,693,27.308,1.247,13.8,7.4,3.5,0,10,50.4,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5882,8,33,8,893,27.311,1.171,13.8,8.8,3.2,0,10,49.7,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5883,8,33,9,93,27.316,1.278,13.8,8,3.8,0,10,53.7,8380,-34530.824,33247.152,48.788,3872.812,3.831,0.294,226.748,90.8595,-178.125,-0.8595,,1,1,3866,,,,,,
5884,8,33,9,293,27.32,1.126,13.9,7.3,4.1,0,10,66.3,8380,-34530.843,33247.134,48.783,3872.838,3.83,0.29,226.7309,90.9034,-178.1422,-0.9034,,1,1,3866,,,,,,
