2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
61,8,3,51,533,0.375,1.825,13.9,5.6,5,0,1,60.4,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
62,8,3,51,733,0.381,1.81,13.9,5.4,5.3,0,1,64.5,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
63,8,3,51,933,0.386,1.749,13.9,5.4,5.5,0,1,69.3,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
64,8,3,52,133,0.392,1.704,13.8,6.2,5.1,0,1,65,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
65,8,3,52,333,0.398,1.719,13.9,5.8,5.1,0,1,65,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
66,8,3,52,533,0.404,1.719,13.9,6.4,4.7,0,1,60.7,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
67,8,3,52,733,0.41,1.78,13.9,5.4,5.1,0,1,62.8,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
68,8,3,52,934,0.416,1.734,13.9,5.4,5.2,0,1,65.4,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
69,8,3,53,134,0.422,1.825,13.9,5.6,5,0,1,59.7,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
70,8,3,53,333,0.429,1.932,13.8,5.6,5,0,1,56.8,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
71,8,3,53,533,0.436,1.993,13.8,5.1,5.4,0,1,59.2,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
72,8,3,53,733,0.442,2.038,13.8,5.7,5.3,0,1,56.3,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
73,8,3,53,933,0.45,2.145,13.9,5.8,5.2,0,1,52.8,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
74,8,3,54,133,0.457,2.099,13.9,5.9,4.9,0,1,51.6,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
75,8,3,54,333,0.463,2.053,13.9,5.9,4.9,0,1,52.5,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
76,8,3,54,533,0.47,1.962,13.9,6.3,4.5,0,1,50.5,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
77,8,3,54,733,0.476,1.901,13.9,5,5.4,0,1,61.8,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
78,8,3,54,934,0.482,1.886,13.9,5.4,5.5,0,1,63.8,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
79,8,3,55,133,0.488,1.84,13.9,5.6,5.1,0,1,61.4,8371,-34531.218,33246.714,49.027,3873.4,3.798,0.533,226.8363,89.3326,-178.0368,0.6674,,1,1,3866,,,,,,
80,8,3,55,333,0.494,1.78,13.8,5.3,5.2,0,1,63.5,8371,-34531.251,33246.679,49.014,3873.448,3.796,0.52,226.8402,89.4129,-178.0328,0.5871,,1,1,3866,,,,,,
81,8,3,55,533,0.5,1.719,13.9,5.7,5.4,0,1,69.2,8371,-34531.251,33246.679,49.014,3873.448,3.796,0.52,226.8402,89.4129,-178.0328,0.5871,,1,1,3866,,,,,,
82,8,3,55,733,0.505,1.688,13.9,5.8,5.1,0,1,65.8,8371,-34531.251,33246.679,49.014,3873.448,3.796,0.52,226.8402,89.4129,-178.0328,0.5871,,1,1,3866,,,,,,
83,8,3,55,933,0.51,1.612,13.8,5,5.5,0,1,73.7,8371,-34531.251,33246.679,49.014,3873.448,3.796,0.52,226.8402,89.4129,-178.0328,0.5871,,1,1,3866,,,,,,
84,8,3,56,133,0.515,1.567,13.9,5.6,5.2,0,1,73.7,8371,-34531.277,33246.652,49.005,3873.485,3.795,0.511,226.8405,89.3872,-178.0325,0.6128,,1,1,3866,,,,,,
85,8,3,56,333,0.521,1.551,13.8,5.1,5.2,0,1,73.4,8371,-34531.277,33246.652,49.005,3873.485,3.795,0.511,226.8405,89.3872,-178.0325,0.6128,,1,1,3866,,,,,,
86,8,3,56,533,0.526,1.582,13.8,5.5,5.5,0,1,75.8,8371,-34531.277,33246.652,49.005,3873.485,3.795,0.511,226.8405,89.3872,-178.0325,0.6128,,1,1,3866,,,,,,
